Using custom data configuration default-97e4152d5e42b741
0 tables [00:00, ? tables/s]                            Special tokens have been added in the vocabulary, make sure the associated word embedding are fine-tuned or trained.
0.2727272727272727,l'autor de la novel·la el domador de puces és francesc valls-calzada,l'autor de la novel·la aldomador de puces és francesc vallscalzada
0.14285714285714285,josé zaragoza té un parlar molt agressiu,josé saragossa té un parlar molt agressiu
0.09090909090909091,la xarxa de carreteres està controlada per infraestructures viàries de catalunya,la xarxa de carretera està controlada per infraestructures viàries de catalunya
0.375,sempre m'ha agradat el to folklòric dels corrs,sempre m'ha agradat el tòfol klòric dels cors
0.0,rosa maria graupera escrivia novel·les roses però també cròniques de guerra,rosa maria graupera escrivia novel·les roses però també cròniques de guerra
0.0,no hi ha cap problema amb intermes nets des de l'inici de la crisi,no hi ha cap problema amb intermes nets des de l'inici de la crisi
0.0,tinc ganes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga,tinc ganes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga
0.08333333333333333,el logo de grup indonèsia és un monstre que sembla un pokémon,el logo de grup indonèsia és un monstre que sembla en pokémon
0.2857142857142857,els vesits de mango em queden bé,els vestits de mango en queden bé
0.2727272727272727,les maquinària que ven girbau està orientada a la neteja industrial,l'es maquinària que bengirbao està orientada a la neteja industrial
0.13333333333333333,en van publicar un article a la vanguardia però no sé si és gaire fiable,en van publicar un article a l'avantguàrdia però no sé si és gaire fiable
0.0,el conseller ausàs anava a les reunions al palau de la generalitat,el conseller ausàs anava a les reunions al palau de la generalitat
0.25,mandy moore no és una noia com cal,mandi mour no és una noia com cal
0.058823529411764705,del brasil han sortit algunes de les més grans models dels nostres temps com ara alessandra ambrosio,del brasil han sortit algunes de les més grans models dels nostres temps com ara alessandra ambrossio
0.2857142857142857,a mataró hi viu molta gent de gàmbia i no en sé el perquè,a mataró hi viu molta gent de gàmbia i no séel per què
0.0,va ser un eminent geògraf català del segle divuit plenament integrat a l'espanya guanyadora dels borbons,va ser un eminent geògraf català del segle divuit plenament integrat a l'espanya guanyadora dels borbons
0.08333333333333333,les accions de carburants axoil han pujat més d'un cinquanta per cent,les accions de carburants exoïl han pujat més d'un cinquanta per cent
0.125,josé corbacho a vegades es fa molt pesat,josé corbatxo a vegades es fa molt pesat
0.1875,un altre dels reusencs notables va ser el geògraf historiador i escriptor josep iglésies i fort,un altra dels reusencs notables va ser el geògraf historiador i escriptor josep iglésesi fort
0.09090909090909091,els productes de johnson controls eurosit es distribueixen des de tarragona,els productes de johnson controls eurocit es distribueixen des de tarragona
0.0,a polinyà hi vaig treballar quan tenia divuit anys,a polinyà hi vaig treballar quan tenia divuit anys
0.058823529411764705,si a l'escorxador frigorífic d'osona hi maten bestiar no m'hi trobareu pas perquè no m'agraden els escorxadors,si a l'escorxador frigorífic d'osona i maten bestiar no m'hi trobareu pas perquè no m'agraden els escorxadors
0.4,vint-i dos cara de gos,vint-i-dos cara de gos
0.1111111111111111,el vol cap a colòmbia feia escala a amsterdam,el vol cop a colòmbia feia escala a amsterdam
0.0,la campanya de micromecenatge espera recollir més de set mil euros,la campanya de micromecenatge espera recollir més de set mil euros
0.18181818181818182,fernando alonso té el coll molt gruixut perquè està molt fort,fernan do alonso té el coll molt gruixut perquè està molt fort
0.0,el més conegut d'islàndia és el bacallà els volcans i l'equip nacional de futbol,el més conegut d'islàndia és el bacallà els volcans i l'equip nacional de futbol
0.1,la pedra gentil és una estructura del municipi de vallgorguina,la pedra argentil és una estructura del municipi de vallgorguina
0.375,penélope cruz és la parella de javier bardem,penelópecruz és la parella de havier bardem
0.0,hi ha hagut un incendi a lliçà d'amunt,hi ha hagut un incendi a lliçà d'amunt
0.1875,m'agradaven tant les xocolatines milka que sempre en tenia una bona reserva guardada a la nevera,m'agradaven tant la xocolatina esmilca que sempre en tenia una bona reserva guardada a la nevera
0.375,necessito un cub d'avecrem per fer-me el dinar,necessito un cup de becrent per fer-me el dinar
0.3,vam fer un projecte de petroquímica amb repsol l'any passat,van fer un projecte de petroquímic amb rebsòl l'any passat
0.06666666666666667,el big bang és el model cosmològic de l'univers que considera que aquest s'ha expandit,el bit bang és el model cosmològic de l'univers que considera que aquest s'ha expandit
0.14285714285714285,montserrat enfilem-nos al teulat i tastem si el vi de l'any ha sortit bo,montserrat enfilem-nos el teulat i testem si el vi de l'any ha sortit bo
0.21428571428571427,un dels temes de treball djoan ruiz i carbonell ha estat el dels discapacitats,un dels temes de treball de joan roís i carbonell ha estat el dels discapacitats
0.2727272727272727,el diari de javier godó és el més llegit de catalunya,el diari de haviergodó és el més llegit a catalunya
0.11764705882352941,l'únic que sé d'els amics de les arts és que es tracta d'un grup de músics joves,l'únic que ser dels amics de les arts és que es tracta d'un grup de músics joves
0.2857142857142857,a barcelona tothom beu cervesa damm però a valència és més popular la mahou,a barcelona tothom veu cervesa adam però valència és més popular la mou
0.0,facebook és la xarxa social més famosa del món,facebook és la xarxa social més famosa del món
0.08333333333333333,la torre agbar enlluerna tota la ciutat quan es fa de nit,la torre agvard enlluerna tota la ciutat quan es fa de nit
